no B-INTJ
saints I-PP
r I-PP
. I-PP
buch I-PP
might I-PP
come I-PP
back I-PP
n I-PP
play I-PP
vs I-PP
seahawks I-PP
on I-PP
sunday I-PP
?? I-PP

polling O
ends I-PP
in I-PP
bihar I-PP
today I-PP
, I-PP
counting I-PP
on I-PP
november I-PP
24 I-PP
http://toi.in/ujtwya I-PP

today B-NP
has I-PP
been I-PP
a I-PP
great I-PP
day I-PP
__and__ I-PP
it I-PP
just I-PP
keeps I-PP
getting I-PP
better I-PP
!!! I-PP
thank I-PP
you I-PP
lord I-PP
! I-PP

man I-INTJ
my I-PP
twin I-PP
wanna I-PP
act I-PP
fake I-PP
today I-PP
but I-PP
its I-PP
okay I-PP
bcuz I-PP
i I-PP
still I-PP
love I-PP
you I-PP

@iians O
id I-PP
love I-PP
to I-PP
see I-PP
idwt I-PP
live I-PP
from I-PP
ces I-PP
. I-PP
and I-PP
one I-PP
day I-PP
i I-PP
hope I-PP
to I-PP
go I-PP
to I-PP
ces I-PP
myself I-PP
. I-PP

